type,name,label::english,label::rohingya,hint::english,hint::rohingya,calculation,required,relevant,constraint,constraint_message::english,constraint_message::rohingya,appearance,repeat_count,media::image::english,media::image::rohingya,choice_filter
select_one expense,exp_shelter_materials,"4. Other shelter materials (e.g. rope, wire, tarpaulin, cement)","????? ??? ??????? ( ?????? ???, ???, ????, ??????, ?????)",,,,true,,,,,,,,,
select_one expense,exp_education,5. Education and educational materials,"??????, ??????? ???????, ????? ???",,,,true,,,,,,,,,
select_one expense,exp_debt,6. Debt repayment,???? ????? ???,,,,true,,,,,,,,,
select_one expense,exp_celebration,7. Celebrations/festivals/donations,????? ????? ??? ????? ???? ???,,,,true,,,,,,,,,
select_one expense,exp_livelihood_inputs,"8. Livelihood inputs (for agriculture, fishing, business)","???????? ?????? ??? ( ?? ????????, ??? ???, ????? ???)",,,,true,,,,,,,,,
select_one expense,exp_fees,9. Payment of unexpected fees,?'??????? ???,,,,true,,,,,,,,,
select_one expense,exp_fuel,10. Cooking fuel,????????? ?????? ?????,,,,true,,,,,,,,,
select_one expense,exp_hygiene,11. Hygiene items,???-??????? ?? ????,,,,true,,,,,,,,,
select_one expense,exp_hhitems,12. Kitchen items/utensils,????????? ?????? ???,,,,true,,,,,,,,,
select_one expense,exp_lights,13. Lights,????,,,,true,,,,,,,,,
select_one expense,exp_comms,14. Communication (mobile phone),??????? ??? ( ?????? ???),,,,true,,,,,,,,,
select_one expense,exp_transport,15. Transport,?????-?????? ????,,,,true,,,,,,,,,
select_one expense,exp_rent,16. Rent,????,,,,true,"selected(${shelter_paid},'yes')",,,,,,,,
select_one expense,exp_food,17. Food,????,,,,true,,,,,,,,,
select_one expense,exp_otherexp,18. Any other expenditure,??????? ??? ???,,,,true,,,,,,,,,
text,exp_other,Specify other.,????? ???- ?? ???'? ???? ??? ???????,,,,true,"selected(${exp_otherexp},'1_500_bdt') or selected(${exp_otherexp},'501_1000_bdt') or selected(${exp_otherexp},'1001_2000_bdt') or selected(${exp_otherexp},'2000_plus_bdt')",,,,,,,,
end_group,expenses,,,,,,,,,,,,,,,
select_one market_time,market_time,How long does it take to travel to the closest market by foot (in minutes)?,?????? ??????? ???? ?'????? ?????,,,,true,,,,,,,,,
select_multiple market_access,market_problems,Did you face any significant problems accessing markets in the last 4 weeks?,?????  ?? ???? ?????? ????? ?????? ?? ???? ????? ??? ???,select upto three,???????? ?????  ???????? ?????,,true,,"count-selected(.) <=3 and not((selected(., 'none ') or selected(., 'dont_know')) and count-selected(.) >=2)",,,,,,,
text,market_problems_other,Specify other.,????? ???,,,,true,"selected(${market_problems},'other')",,,,,,,,
select_multiple coping_mechanism,hh_coping_mechanism,"HOUSEHOLD LEVEL COPING MECANISM:During the past 30 days, did anyone in your household have to engage in any of the following behaviours due to a lack of money to meet basic needs?",??? ?????? ???? ???? ????? ?????? ????? ?? ???? ????? ??? ?????? ????? ????? ???? ?????? ???????? ???? ????? ??? ??? ?? ??????? ???? ????????????? ?? ?????? ??? ?????? ???,"Read options out loud, select if ""yes""","???????? ??? ????, ?'?? ?'? ??",,true,,"not((selected(., 'none ')) and count-selected(.) >=2)",,,,,,,
select_multiple debt_reason,debt_reason,What were the main reasons for debts or credit?,???? ?????? ???? ??????? ??? ?????????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${hh_coping_mechanism},'bought_on_credit') or selected(${hh_coping_mechanism},'borrowed')","not((selected(., 'none ')) and count-selected(.) >=2)",,,,,,,
text,debt_reason_other,Specify other.,????? ???,,,,true,"selected(${debt_reason},'other')",,,,,,,,
end_group,Food_security_Livelihood,,,,,,,,,,,,,,,
begin_group,WASH,WASH,,,,,,,,,,,,,,
select_multiple water_source,water_source_drink,What is/are the main source(s) of water used by your household for drinking and cooking?,"??? ??? ??????, ?????-???? ?????? ???? ???????? ?????? ?? ???????
 [drinking/cooking only] ?????/?????-???? ??????",Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,,"not((selected(., 'dont_know')) and count-selected(.) >=2)",,,,,,,
text,water_source_drink_other,Specify other.,????? ???,,,,true,"selected(${water_source_drink},'other')",,,,,,,,
select_multiple water_source,water_source_wash,What is/are the main source(s) of water used by your household for bathing and washing?,??? ???  ?? ?????? ?? ?????-???? ?????? ???? ???????? ?????? ?? ?????? ?,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,,"not((selected(., 'dont_know')) and count-selected(.) >=2)",,,,,,,
text,water_source_wash_other,Specify other.,????? ???,,,,true,"selected(${water_source_wash},'other')",,,,,,,,
select_multiple enough_water,enough_water,Do you and your household members have enough water to meet the following needs?,??? ?? ??? ??? ????????? ???? ???????? ???? ???????? ???????? ???? ??? ???,"Read options out loud, select if ""yes""","???????? ??? ????, ?'?? ?'? ???? ????",,true,,"not((selected(., 'none_previous') or selected(., 'dont_know')) and count-selected(.) >=2)",,,,,,,
select_one water_time,water_source_time,"How long does it take to go to your main water source, fetch water, and return (including queuing at the water source)?",???? ?????? ???? ????? ????? ?? ????? ????? ???? ?? ???? ???????? ???? ?????,,,,true,,,,,,,,,
select_one surface_water,surface_water_access,"In the last ""dry season"", how often did you access surface water for drinking and cooking purposes?","????? ????????, ??? ???????? ?? ?????-???? ???????? ???/????/??? / ??? ???? ????????",,,,true,,,,,,,,,
select_one sanitation_facility,defecation,What kind of sanitation facility (latrine or toilet) does your household usually use?,??? ??? ???????????? ?????? ????????? ??????? ?? ????-???? ???????? ????,,,,true,,,,,,,,,
text,defecation_other,Specify other.,????? ???,,,,true,"selected(${defecation},'other')",,,,,,,,
select_one ynd,soap,Do you have any soap in your household?,??? ??? ?? ????? ??? ???,,,,true,,,,,,,,,
select_one ynd,visible_faeces,Was there visible traces of human faeces in the vicinity (30 meters or less) of your accommodation in the last 30 days?,????? ?? ???? ??? ??? ???? (????? ????? ?????? ???????????? ???) ?????? ?????? ??????? ???,,,,true,,,,,,,,,
select_one ynd,visible_waste,Was there visible waste in the vicinity (30 meters or less) of your accommodation in the last 30 days?,????? ?? ???? ??? ??? ???? (????? ????? ?????? ???????????? ???) ????? ??????? ???,,,,true,,,,,,,,,
select_one ynd,stagnant_water,Was there visible stagnant water in the vicinity (30 meters or less) of your accommodation in the last 30 days?,????? ?? ???? ??? ??? ???? (????? ????? ?????? ???????????? ???) ????? ???? ??????? ???,,,,true,,,,,,,,,
end_group,WASH,,,,,,,,,,,,,,,
begin_group,protection,Protection,,,,,,,,,,,,,,
select_multiple hh_unsafe,feel_unsafe_male,Are there areas in your neighbourhood where your male household members do not feel safe? Which areas?,?????? ???? ?? ??? ???? ??? ?? ??'?? ??? ??? ???-????????? ?????? ?' ???? ???? ?? ?? ???,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${respondent_gender},'male')","not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
select_multiple hh_unsafe,feel_unsafe_female,Are there areas in your neighbourhood where your female household members do not feel safe? Which areas?,?????? ???? ?? ??? ???? ??? ?? ??'?? ??? ??? ????-????????? ?????? ?'???? ???? ?? ?? ???,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${respondent_gender},'female')","not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
text,feel_unsafe_male_other,Specify other.,????? ???,,,,true,"selected(${feel_unsafe_male},'other')",,,,,,,,
text,feel_unsafe_female_other,Specify other.,????? ???,,,,true,"selected(${feel_unsafe_female},'other')",,,,,,,,
select_multiple unsafe_reason,unsafe_reason_male,What are the main reasons for male household members to feel unsafe in this location?,? ???? ??? ??? ??? ???-????????? ??? ??? ??????? ??????? ?????? ?’ ??? ?????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${respondent_gender},'male') and not(selected(${feel_unsafe_male},'dntknow_prefer') or selected(${feel_unsafe_male},'none'))","not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
select_multiple unsafe_reason,unsafe_reason_female,What are the main reasons for female household members to feel unsafe in this location?,? ???? ??? ??? ??? ????-????????? ??? ??? ??????? ??????? ?????? ?’ ??? ?????,Select as many as apply; do not read out loud,"?????? ???????? ???????? ????, 
????????? ??? ??????? ??",,true,"selected(${respondent_gender},'female') and not(selected(${feel_unsafe_female},'dntknow_prefer') or selected(${feel_unsafe_male},'none'))","not((selected(., 'none ') or selected(., 'dntknow_prefer')) and count-selected(.) >=2)",,,,,,,
text,unsafe_reason_male_other,Specify other.,????? ???,,,,true,"selected(${unsafe_reason_male},'other')",,,,,,,,
text,unsafe_reason_female_other,Specify other.,????? ???,,,,true,"selected(${unsafe_reason_female},'other')",,,,,,,,
select_multiple distress,HH_distress,"Within the past 30 days, has anyone in this household member experienced any of the following signs of distress?",????? ?? ???? ? ??? ?? ??????? ???? ????????? ?????? ?? ?????? ??? ???,"Read options out loud, select if ""yes""","???????? ??? ????, ?'?? ?'? ???? ????",,,,"not((selected(., 'none ')) and count-selected(.) >=2)",,,,,,,
select_one report_issues,hh_reporting,"If a serious security issue happens to you or your family, who would you report this to first?","??? ?? ?????? ?????? ???’? ?? ?? ??? ??, ???? ??? ?????????",,,,true,,"not((selected(., 'none ')) and count-selected(.) >=2)",,,,,,,
text,hh_reporting_other,Specify other.,????? ???,,,,true,"selected(${hh_reporting},'other')",,,,,,,,
select_multiple mechanism,comm_mechanisms,What type of community self protection mechanisms exist in your community?,"???? ?????? ?????? ??? ??????? ?????????, ?????? ?? ?? ??? ?",Select as many as apply; do not prompt,?????? ???????? ???????? ????; ?????? ?? ?????? ?????? ????? ??,,true,,"not((selected(., 'none ')) and count-selected(.) >=2)",,,,,,,
text,comm_mechanisms_other,Specify other.,????? ???,,,,true,"selected(${comm_mechanisms},'other')",,,,,,,,
select_one ynd,child_marriage,Is there any person under the age of 18 in your household who has already married or about to get married?,??? ??? ????????? ???? ???? ?? ???? ???? ???????? ?????? ???? ?????? ???-?????? ????? ??? ???,,,,true,${over_5_HH_count} >0 and ${under_18_HH_count} >0,,,,,,,,
note,child_protection_note,"If the next question I am about to ask is an issue your household is currently facing, I can either provide you with resources for someone to call, or I can pass along your information if you would prefer.","??? ?? ??? ?????? ????? ?? - ??? ??? ??? ??? ??????? ???????? ???, ???? ?? ????? ?????? ????? ??????? ??? ??????  ?? ??? ?? ??? ?? ???? ???? ??????",,,,,,,,,,,,,
select_one ynd,missing_child,Has anyone from this HH under the age of 18 years gone missing since arriving in Bangladesh?,????????? ?????? ??? ??? ??? ????????? ???? ?? ???? ??????? ???? ???,,,,true,,,,,,,,,
note,married_mobility,"I will read out loud several activities. Please indicate if married women in your household would be allowed to do this activity alone, they need to be accompanied by someone else or cannot go at all. If women in your household want to:",?????? ????-????????? ??? ??? ????? ????????? ??? ????? ?? ?????? ???? ???? ??? ???? ??? ?????? ????????? ???? ??????? ???? ? ?????,,,,,${female_reprodage_count} >0,,,,,,,,
select_one permit,work_mobility,To work outside the home,??? ????? ??? ???,,,,true,${female_reprodage_count} >0,,,,,,,,
select_one permit,market_mobility,To the local market to buy things,????????? ???????? ???? ?????,,,,true,${female_reprodage_count} >0,,,,,,,,
note,unmarried_mobility,"And what about unmarried women, would they be allowed to do this activity alone, or do they need to be accompanied by someone else or cannot go at all?","??????? ????-???????,  ????? ?? ????????? ??? ???????? ???? ???? ??, ???? ??? ?????? ????????? ???? ?????? ???? ? ?????",,,,,${female_reprodage_count} >0,,,,,,,,
select_one permit,unmarried_work_mobility,To work outside the home,??? ????? ??? ???,,,,true,${female_reprodage_count} >0,,,,,,,,
select_one permit,unmarried_market_mobility,To the local market to buy things,????????? ???????? ???? ?????,,,,true,${female_reprodage_count} >0,,,,,,,,
select_multiple gbv_organisation,gbv_support,"If your friend was sexually assaulted, where would you send him/her to find care and support?",??? ????? ?????????? ??? ???? ??? ??? ???? ??? ?????????? ??? ??????????,Select as many as apply,?????? ???????? ???????? ????,,true,,"not((selected(., 'dont_know')) and count-selected(.) >=2)",,,,,,,
text,gbv_support_other,Specify other.,????? ???,,,,true,"selected(${gbv_support},'other')",,,,,,,,
end_group,Protection,,,,,,,,,,,,,,,
begin_group,accountability,Accountability,,,,,,,,,,,,,,
select_multiple distribution_chal,distribution_challenges,"In the last 30 days, have you or anyone in your household faced any challenges picking up aid distributions? If yes, what are the main challenges?","????? ?? ???? ??? ?????? ??? ??? ?? ??????? ????????? ??????? ?? ????? ??? ??? ????, ??? ???????? ?? ???",select upto three,???????? ?????  ???????? ?????,,true,,"not((selected(., 'none ')) and count-selected(.) >=2)",,,,,,,
select_multiple aidworker_barriers,aidworkers_barriers,Does anyone in your household face any barriers to interacting with humanitarian workers?,?????? ??? ????/ ?????'? ????? ?? ???????/????????? ???? ??? ??? ?? ??????? ?? ?????? ????,select upto three,???????? ?????  ???????? ?????,,true,,,,,,,,,
select_one aid_opinion,aid_opinion,Do you feel aid providers take your opinion into account when providing aid/services?,??? ??? ?????? ???/????? ???????? ??? ???? ?? ??? ?????? ???? ???,,,,true,,,,,,,,,
select_multiple aid_goingwell,aid_goingwell,What is going well with the assistance and services you have received in the past 6 months?,????? ?? ???? ??? ?? ??? ?? ????? ???? ???? ????? ?? ?? ??????/?? ????,select upto three,???????? ?????  ???????? ?????,,true,,,,,,,,,
select_multiple aid_notgoingwell,aid_notgoingwell,What is not going well with the assistance and services in your camp in the past 6 months?,"??? ?????? ????? ?’???? ?? ?? ??? ???? ?’ ?'?? 
????? ?’???? ???? ?? ?? ????? ?? ?????? ??? ????? ?? ?? ????? ?? ??????? ??’???",select upto three,???????? ?????  ???????? ?????,,true,,,,,,,,,
select_multiple priority_needs,hh_priority_needs,What are the priority needs for which your family requires additional support?,?? ?? ?? ??? ????? ??? ?? ??? ???? ???? ??????,select upto three,???????? ?????  ???????? ?????,,true,,"count-selected(.) <=3 and not(selected(.,'none ') and count-selected(.)>1)",,,,,,,
text,hh_priority_needs_other,Specify other.,????? ???,,,,true,"selected(${hh_priority_needs},'other')",,,,,,,,
begin_group,rank_priority_needs,rank_first_priority need,,,,,,,,,,field-list,,,,
select_one rank_list,rank_priority_needs_label,Rank priority needs in order of importance,????? ????????? ????? ?????? ???? ????,,,,,,,,,label,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_1,Access to food,???? ??,,,,true,"selected(${hh_priority_needs}, ""food_access"")",. != ${rank_priority_need_2} and . != ${rank_priority_need_3} and . != ${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and .!=${rank_priority_need_8} and . != ${rank_priority_need_9} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_2,Shelter materials/upgrade,?? ??????? ???????,,,,true,"selected(${hh_priority_needs}, ""shelter_material"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_3} and . != ${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and .!=${rank_priority_need_8} and . != ${rank_priority_need_9} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_3,Access to clean drinking water,?????????? ??? ???? ??,,,,true,"selected(${hh_priority_needs}, ""clean_water"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and .!=${rank_priority_need_8} and . != ${rank_priority_need_9} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_4,Access to safe and functional latrines,??? ?? ?? ??????? ??,,,,true,"selected(${hh_priority_needs}, ""functional_latrine"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and .!=${rank_priority_need_8} and . != ${rank_priority_need_9} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_5,"Electricity (solar, battery)","??'?? ( ????, ??????)",,,,true,"selected(${hh_priority_needs}, ""electricity"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and .!=${rank_priority_need_8} and . != ${rank_priority_need_9} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_6,Household/cooking items,??? ????????? ?????? ???,,,,true,"selected(${hh_priority_needs}, ""cooking_items"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_7} and .!=${rank_priority_need_8} and . != ${rank_priority_need_9} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_7,Clothing,??-????,,,,true,"selected(${hh_priority_needs}, ""clothing"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_8} and . != ${rank_priority_need_9} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_8,Access to health services and/or medicine,??????????? ????? ??,,,,true,"selected(${hh_priority_needs}, ""access_health_facilities"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_9} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_9,Psychosocial support,?????? ????? ?????? ???,,,,true,"selected(${hh_priority_needs}, ""psychosocial_support"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_10,Access to education for children,??????? ????? ??,,,,true,"selected(${hh_priority_needs}, ""education_access"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_9} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_11,Safety and security,?????? ?? ???-??????,,,,true,"selected(${hh_priority_needs}, ""safety_security"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_9} and .!=${rank_priority_need_10} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_12,Civil documentation ( identity cards),"??????? ??'? ???? ( ??????? ??'?, ??????? ???? ??'?, ???? ?????? ??'?)",,,,true,"selected(${hh_priority_needs}, ""civil_docs"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_9} and .!=${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_13,Cooking Fuel,??? ????????? ?????? ???,,,,true,"selected(${hh_priority_needs}, ""cooking_fuel"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_9} and .!=${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_14,Access to income generating activities/employment,???????-????/???-??? ?????? ????,,,,true,"selected(${hh_priority_needs}, ""income"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_9} and .!=${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_15,Access to information,??????? ??,,,,true,"selected(${hh_priority_needs}, ""information"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_9} and .!=${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_16} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_16,Support with providing feedback on relief items or services received,????? ???????? ??????? ??? ??????? ??? ??? ??,,,,true,"selected(${hh_priority_needs}, ""feedback"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_9} and .!=${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_17},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one rank_list,rank_priority_need_17,Other,????? ???,,,,true,"selected(${hh_priority_needs}, ""other"")",. != ${rank_priority_need_1} and . != ${rank_priority_need_2} and . != ${rank_priority_need_3} and .!=${rank_priority_need_4} and .!=${rank_priority_need_5} and .!=${rank_priority_need_6} and .!=${rank_priority_need_7} and . != ${rank_priority_need_8} and . != ${rank_priority_need_9} and .!=${rank_priority_need_10} and .!=${rank_priority_need_11} and .!=${rank_priority_need_12} and .!=${rank_priority_need_13} and .!=${rank_priority_need_14} and .!=${rank_priority_need_15} and .!=${rank_priority_need_16},,Each ranking can only be used once,list-nolabel,,,,rank_limit <= count-selected(${hh_priority_needs})
select_one modality,modality_food,What is your preferred method to receive assistance to meet your household's food needs?,????? ????? ???? ???? ???????? ??? ??? ?????? ??? ?????? ???????? ???,,,,true,"selected(${hh_priority_needs}, ""food_access"")",,,,quick,,,,
select_one modality,modality_shelter,What is your preferred method to receive assistance to meet your household's shelter material needs?,??? ?????????? ????? ???? ???? ???????? ??? ??? ?????? ??? ?????? ???????? ???,,,,true,"selected(${hh_priority_needs}, ""shelter_material"")",,,,quick,,,,
select_one modality,modality_hhitems,What is your preferred method to receive assistance to meet your household's household/cooking items needs?,???????? ?????? ??? ????? ???? ???? ???????? ??? ??? ?????? ??? ?????? ???????? ???,,,,true,"selected(${hh_priority_needs}, ""cooking_items"")",,,,quick,,,,
select_one modality,modality_fuel,What is your preferred method to receive assistance to meet your household's fuel needs?,??????? ?? ??? ????? ???? ???? ???????? ??? ??? ?????? ??? ?????? ???????? ???,,,,true,"selected(${hh_priority_needs}, ""cooking_fuel"")",,,,quick,,,,
end_group,rank_first_priority_need,,,,,,,,,,,,,,,
select_multiple roof_material,roof,What building material was used to construct the roof of the shelter the household currently lives in?,??? ??? ?? ??? ???? ? ???  ????? ?????????? ?? ?? ???,"To be observed and answered by enumerators. 
Select as many as apply",???????? ?????? ???????? ??? ??? ????? ?????? ?? ?? ???????? ??? ?? ??  ?????? ?????,,true,,,,,,,,,
